Parent ID,Parent Name,Triggered Mean Count,Triggered 10 Year Prob,Triggered Primary Mean Count
657,San Andreas (Santa Cruz Mts) 2011 CFM,0.0,0.0,0.0
80,San Cayetano,3.42E-4,3.1E-4,1.0E-5
178,San Clemente,0.0,0.0,0.0
774,San Diego Trough north alt1,0.0,0.0,0.0
177,San Diego Trough south,0.0,0.0,0.0
247,San Gabriel,3.8E-5,3.8E-5,0.0
248,San Gabriel (Extension),0.0,0.0,0.0
194,San Gorgonio Pass,0.0,0.0,0.0
660,San Gregorio (North) 2011 CFM,8.0E-6,8.0E-6,2.0E-6
661,San Gregorio (South) 2011 CFM,8.0E-6,8.0E-6,2.0E-6
293,San Jacinto (Anza) rev,1.6E-5,1.6E-5,2.0E-6
99,San Jacinto (Borrego),8.0E-6,8.0E-6,0.0
292,San Jacinto (Clark) rev,1.0E-5,1.0E-5,2.0E-6
101,San Jacinto (Coyote Creek),1.0E-5,1.0E-5,0.0
901,San Jacinto (Lytle Creek connector),0.0,0.0,0.0
119,San Jacinto (San Bernardino),1.38E-4,1.38E-4,0.0
289,San Jacinto (San Jacinto Valley) rev,4.6E-5,4.6E-5,0.0
401,San Jacinto (Stepovers Combined),4.8E-5,4.6E-5,2.0E-6
28,San Jacinto (Superstition Mtn),1.0E-5,1.0E-5,0.0
143,San Joaquin Hills,4.0E-6,4.0E-6,0.0
107,San Jose,2.6E-5,2.6E-5,0.0
31,San Juan,0.001112,0.0011,9.2E-5
692,San Luis Range - Oceano 2011 CFM,0.0,0.0,0.0
693,San Luis Range - Pecho 2011 CFM,0.0,0.0,0.0
691,San Luis Range 2011 CFM,4.0E-6,4.0E-6,2.0E-6
181,San Pedro Basin,0.0,0.0,0.0
183,San Pedro Escarpment,0.0,0.0,0.0
198,San Vicente,0.0,0.0,0.0
775,Santa Cruz Catalina Ridge alt1,0.0,0.0,0.0
111,Santa Cruz Island,1.4E-5,1.4E-5,2.0E-6
185,Santa Monica Bay,0.0,0.0,0.0
226,Santa Monica alt 1,6.0E-6,6.0E-6,0.0
110,Santa Rosa Island,1.6E-5,1.6E-5,2.0E-6
778,Santa Susana East (connector),0.0,0.0,0.0
227,Santa Susana alt 1,8.6E-5,8.4E-5,0.0
79,Santa Ynez (East),1.1E-4,1.1E-4,2.0E-6
77,Santa Ynez (West),1.1E-4,1.02E-4,6.0E-6
781,Santa Ynez River,0.0,0.0,0.0
662,Sargent 2011 CFM,0.0,0.0,0.0
209,Scodie Lineament,0.0,0.0,0.0
885,Sheephole,0.0,0.0,0.0
547,Shoreline,0.0,0.0,0.0
114,Sierra Madre,3.4E-5,3.4E-5,0.0
113,Sierra Madre (San Fernando),2.0E-6,2.0E-6,0.0
210,Sierra Nevada  (No Extension),0.0,0.0,0.0
664,Silver Creek 2011 CFM,0.0,0.0,0.0
115,Simi-Santa Rosa,2.4E-5,2.4E-5,0.0
202,Sisar,0.0,0.0,0.0
694,Skinner Flat 2011 CFM,0.0,0.0,0.0
63,So Sierra Nevada,0.0,0.0,0.0
189,South Cuyama,0.0,0.0,0.0
719,South Klamath Lake East,0.0,0.0,0.0
720,South Klamath Lake West,0.0,0.0,0.0
98,Superstition Hills,0.0,0.0,0.0
708,Surprise Valley 2011 CFM,0.0,0.0,0.0
695,Swain Ravine - Spenceville,0.0,0.0,0.0
15,Table Bluff,0.0,0.0,0.0
145,Tank Canyon,8.0E-6,8.0E-6,0.0
174,Thirty Mile Bank,0.0,0.0,0.0
887,Tin Mountain,0.0,0.0,0.0
886,Towne Pass,0.0,0.0,0.0
19,Trinidad (alt1),0.0,0.0,0.0
117,Ventura-Pitas Point,2.8E-5,2.8E-5,2.0E-6
112,Verdugo,6.0E-6,6.0E-6,0.0
696,Walker Spring 2011 CFM,0.0,0.0,0.0
665,West Napa 2011 CFM,0.0,0.0,0.0
321,West Tahoe,0.0,0.0,0.0
44,White Mountains,0.0,0.0,0.0
253,White Wolf,0.0,0.0,0.0
254,White Wolf (Extension),0.0,0.0,0.0
236,Whittier alt 1,1.0E-5,1.0E-5,2.0E-6
697,Wight Way 2011 CFM,0.0,0.0,0.0
206,Yorba Linda,0.0,0.0,0.0
715,Zayante-Vergeles 2011 CFM,0.0,0.0,0.0
